Layer 1;Layer 2;Layer 3;Layer 4;Layer 5
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;1. ID Pelanggan;1. Gagal Input IDPEL / IDPEL tidak ditemukan
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;1. ID Pelanggan;2. IDPEL Tidak Bisa Dihapus
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;1. ID Pelanggan;3. IDPEL Tidak Bisa Ditambah/Maksimal IDPEL yang bisa didaftarkan
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;1. ID Pelanggan;4. IDPEL Hilang / IDPEL Digunakan Pihak Lain
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;2. Riwayat Penggunaan Listrik (Pasca/Pra);1. Riwayat Penggunaan Tidak Muncul / Tidak Sesuai
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;3. Data Diri;1. Tidak Bisa Ubah Data Diri
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;3. Data Diri;2. Permintaan Verifikasi ID Tidak Dapat Diajukan
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;4. Alamat;1. Kesalahan Koordinat Lokasi
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;5. Undang Anggota;1. Tidak Bisa Undang Anggota
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;6. Login dan Register;1. OTP Tidak Masuk/salah/melebihi batas maksimal
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;6. Login dan Register;2. Tidak Bisa Registrasi/ Susah Login
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;6. Login dan Register;3. No HP/Email Sudah Terdaftar dengan Nama Orang Lain
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;6. Login dan Register;4. Tidak bisa install
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;6. Login dan Register;5. Tidak bisa verifikasi no Hp/email
APLIKASI;KETENAGALISTRIKAN;Akun PLN Mobile;7. Hapus Akun;1. Tidak Bisa Hapus Akun
APLIKASI;KETENAGALISTRIKAN;Token & Pembayaran;1. Masukkan Nomor IDPEL;1. IDPEL Tidak Ditemukan
APLIKASI;KETENAGALISTRIKAN;Token & Pembayaran;2. Beli Token;1. Status Payment Berhasil tapi Token Tidak Muncul / Lama
APLIKASI;KETENAGALISTRIKAN;Token & Pembayaran;2. Beli Token;2. Status Payment Gagal tapi Saldo Terpotong
APLIKASI;KETENAGALISTRIKAN;Token & Pembayaran;3. Bayar Tagihan;1. Status Payment Berhasil tapi Tagihan Tidak Lunas
APLIKASI;KETENAGALISTRIKAN;Token & Pembayaran;3. Bayar Tagihan;2. Status Payment Gagal tapi Saldo Terpotong
APLIKASI;KETENAGALISTRIKAN;Token & Pembayaran;3. Bayar Tagihan;3. Tagihan Tidak Muncul
